problem,learner,aut,bbo,property,size,realsymbols,learnsymbols,eqsymbols,emsymbols,emosymbols,insymbols,realqueries,learnqueries,eqqueries,emqueries,emoqueries,inqueries,length,multiplier,refinements
5,ExtensibleLStar,buchi,none,4,234,27011301,720783,26290518,0,297105137,0,3282705,93775,3188930,0,24540,0,1696,25.000000,10
5,ExtensibleLStar,buchi,none,17,234,27011301,720783,26290518,0,708447999,0,3282705,93775,3188930,0,60042,0,808,25.000000,10
5,ExtensibleLStar,buchi,none,23,234,27011301,720783,26290518,0,1050948013,0,3282705,93775,3188930,0,89295,0,22,25.000000,10
5,ExtensibleLStar,buchi,none,34,234,27011301,720783,26290518,0,1533432225,0,3282705,93775,3188930,0,131989,0,3497,25.000000,10
5,ExtensibleLStar,buchi,none,39,234,27011301,720783,26290518,0,1739287755,0,3282705,93775,3188930,0,150165,0,1260,25.000000,10
5,ExtensibleLStar,buchi,none,42,234,27011301,720783,26290518,0,1822624259,0,3282705,93775,3188930,0,159859,0,7691,25.000000,10
5,ExtensibleLStar,buchi,none,49,234,27011301,720783,26290518,0,2131065621,0,3282705,93775,3188930,0,189511,0,808,25.000000,10
5,ExtensibleLStar,buchi,none,54,234,27011301,720783,26290518,0,2268312583,0,3282705,93775,3188930,0,201613,0,808,25.000000,10
5,ExtensibleLStar,buchi,none,57,234,27011301,720783,26290518,0,2337053813,0,3282705,93775,3188930,0,207879,0,845,25.000000,10
5,ExtensibleLStar,buchi,none,74,234,27011301,720783,26290518,0,3105536467,0,3282705,93775,3188930,0,276073,0,7691,25.000000,10
5,ExtensibleLStar,buchi,none,90,234,27011301,720783,26290518,0,3790653479,0,3282705,93775,3188930,0,334975,0,808,25.000000,10
5,ExtensibleLStar,buchi,none,94,234,27011301,720783,26290518,0,3893437994,0,3282705,93775,3188930,0,346677,0,8,25.000000,10
5,ExtensibleLStar,buchi,none,95,234,27011301,720783,26290518,0,3893601912,0,3282705,93775,3188930,0,347080,0,808,25.000000,10
5,ExtensibleLStar,buchi,none,96,234,27011301,720783,26290518,0,3893699910,0,3282705,93775,3188930,0,347387,0,624,25.000000,10
